Score, Target, Expression
12,1022,(~((~(True))<<((True)<<((True)-(~(True))))))<<(True)
12,46,(~((~(-(~(True))))<<((True)-(~(True)))))<<(True)
12,52,(~((~(-(~(True))))**((True)-(~(True)))))<<(True)
12,162,((~(-(~(True))))**(-((~(True))<<(True))))<<(True)
12,50,((~(-((~(True))<<(True))))**(-(~(True))))<<(True)
12,72,(((~(-(~(True))))<<(True))**(-(~(True))))<<(True)
13,-32770,~(-(~((True)<<(~((~(True))<<((True)-(~(True))))))))
13,253,~(-(~((True)-((True)<<((True)<<((True)-(~(True))))))))
13,61,~(-(~((True)-((True)<<(((True)-(~(True)))<<(True))))))
13,-4098,~(-(~((True)<<(((True)-(~(True)))<<(-(~(True)))))))
13,-1026,~(-(~((True)<<(((True)-((~(True))<<(True)))<<(True)))))
13,131070,~(-(~((~(True))<<((True)<<(-((~(True))<<(True)))))))
13,-83,~(-(~((~(-(~(True))))**(-((~(True))<<(True))))))
13,-38,~(-(~(((~(-(~(True))))<<(True))**(-(~(True))))))
13,259,-(~((True)-(~((True)<<((True)<<((True)-(~(True))))))))
13,67,-(~((True)-(~((True)<<(((True)-(~(True)))<<(True))))))
13,2049,-(~((True)<<(~((~(-(~(True))))<<(-(~(True)))))))
13,-65534,-(~((True)-((True)<<((True)<<(-((~(True))<<(True)))))))
13,16383,~(-((True)<<((~((~(True))<<(-(~(True)))))<<(True))))
13,16385,-(~((True)<<((~((~(True))<<(-(~(True)))))<<(True))))
13,115792089237316195423570985008687907853269984665640564039457584007913129639935,~(-((~(True))**((True)<<((True)<<((True)-(~(True)))))))
13,115792089237316195423570985008687907853269984665640564039457584007913129639937,-(~((~(True))**((True)<<((True)<<((True)-(~(True)))))))
13,4294967295,~(-((~(True))**((True)<<((True)-((~(True))<<(True))))))
13,4294967297,-(~((~(True))**((True)<<((True)-((~(True))<<(True))))))
13,18446744073709551615,~(-((~(True))**((True)<<(((True)-(~(True)))<<(True)))))
13,18446744073709551617,-(~((~(True))**((True)<<(((True)-(~(True)))<<(True)))))
13,-8193,~(-((~(True))<<(((True)-(~(True)))<<(-(~(True))))))
13,-8191,-(~((~(True))<<(((True)-(~(True)))<<(-(~(True))))))
13,-2047,-(~((~(True))<<(((True)-((~(True))<<(True)))<<(True))))
13,-767,-(~((~(-(~(True))))<<((True)<<((True)-(~(True))))))
13,6560,~(-((~(-(~(True))))**((True)<<((True)-(~(True))))))
13,6562,-(~((~(-(~(True))))**((True)<<((True)-(~(True))))))
13,-95,-(~((~(-(~(True))))<<((True)-((~(True))<<(True)))))
13,-242,-(~((~(-(~(True))))**((True)-((~(True))<<(True)))))
13,-191,-(~((~(-(~(True))))<<(((True)-(~(True)))<<(True))))
13,728,~(-((~(-(~(True))))**(((True)-(~(True)))<<(True))))
13,730,-(~((~(-(~(True))))**(((True)-(~(True)))<<(True))))
13,769,-(~(((True)-(~(True)))<<((True)<<((True)-(~(True))))))
13,97,-(~(((True)-(~(True)))<<((True)-((~(True))<<(True)))))
13,244,-(~(((True)-(~(True)))**((True)-((~(True))<<(True)))))
13,193,-(~(((True)-(~(True)))<<(((True)-(~(True)))<<(True))))
13,-39,-(~((~(-((~(True))<<(True))))<<((True)-(~(True)))))
13,-124,-(~((~(-((~(True))<<(True))))**((True)-(~(True)))))
13,41,-(~(((True)-((~(True))<<(True)))<<((True)-(~(True)))))
13,-215,-(~(((~(-(~(True))))<<(True))**((True)-(~(True)))))
13,217,-(~((((True)-(~(True)))<<(True))**((True)-(~(True)))))
13,-515,~(-((~((True)<<((True)<<((True)-(~(True))))))<<(True)))
13,-131,~(-((~((True)<<(((True)-(~(True)))<<(True))))<<(True)))
13,-53,-(~(((~(-(~(True))))**((True)-(~(True))))<<(True)))
13,55,-(~((((True)-(~(True)))**((True)-(~(True))))<<(True)))
