Score, Target, Expression
14,7625597484987,((True)-(~(True)))**(((True)-(~(True)))**((True)-(~(True))))
14,-16384,(~((True)-(~(True))))**(~((~(True))**((True)-(~(True)))))
14,-262144,(~((True)-(~(True))))**((~(-(~(True))))**(-(~(True))))
14,-3125,(~((~(True))*(~(True))))**(-(~((~(True))*(~(True)))))
14,15625,(~((~(True))*(~(True))))**((~(-(~(True))))*(~(True)))
14,2401,(~((~(True))**((True)-(~(True)))))**((~(True))*(~(True)))
14,-51,(~((~(True))**((~(True))*(~(True)))))*((True)-(~(True)))
14,-4913,(~((~(True))**((~(True))*(~(True)))))**((True)-(~(True)))
14,-1000,(~((~(-(~(True))))**(-(~(True)))))**((True)-(~(True)))
14,1000,((~((~(True))*(~(True))))*(~(True)))**((True)-(~(True)))
14,225,(~(-((~(True))**((~(True))*(~(True))))))**(-(~(True)))
14,676,(~((~(-(~(True))))**((True)-(~(True)))))**(-(~(True)))
14,784,(~(((True)-(~(True)))**((True)-(~(True)))))**(-(~(True)))
14,121,(~((~((~(True))*(~(True))))*(~(True))))**(-(~(True)))
14,144,((~(True))*((~(-(~(True))))*(~(True))))**(-(~(True)))
14,130,(~((~(True))**((~(-(~(True))))*(~(True)))))*(~(True))
14,164,(~((~(-(~(True))))**((~(True))*(~(True)))))*(~(True))
14,250,((~((~(True))*(~(True))))**((True)-(~(True))))*(~(True))
15,78,~(-(~((True)-((~(-(~(True))))**((~(True))*(~(True)))))))
15,134217726,~(-(~((~(True))**(((True)-(~(True)))**((True)-(~(True)))))))
15,-1026,~(-(~((~(True))**((~((~(True))*(~(True))))*(~(True))))))
15,241,~(-(~((~(-(~(True))))**(-(~((~(True))*(~(True))))))))
15,-731,~(-(~((~(-(~(True))))**((~(-(~(True))))*(~(True))))))
15,-245,~(-(~(((True)-(~(True)))**(-(~((~(True))*(~(True))))))))
15,-627,~(-(~((~((~(True))*(~(True))))**((~(True))*(~(True))))))
15,214,~(-(~(((~(True))*((True)-(~(True))))**((True)-(~(True))))))
15,-218,~(-(~(((~(-(~(True))))*(~(True)))**((True)-(~(True))))))
15,67,-(~((True)-(~((~(True))**((~(-(~(True))))*(~(True)))))))
15,84,-(~((True)-(~((~(-(~(True))))**((~(True))*(~(True)))))))
15,-61,-(~((True)-(~((~((True)-(~(True))))**((True)-(~(True)))))))
15,-254,-(~((True)-((~(True))**(-((~(True))**((True)-(~(True))))))))
15,-65534,-(~((True)-((~(True))**((~(True))**((~(True))*(~(True)))))))
15,514,-(~((True)-((~(True))**((~(-(~(True))))**(-(~(True)))))))
15,-32769,~(-((~(True))**(~(-((~(True))**((~(True))*(~(True))))))))
15,-32767,-(~((~(True))**(~(-((~(True))**((~(True))*(~(True))))))))
15,-131073,~(-((~(True))**(-(~((~(True))**((~(True))*(~(True))))))))
15,-131071,-(~((~(True))**(-(~((~(True))**((~(True))*(~(True))))))))
15,67108863,~(-((~(True))**(~((~(-(~(True))))**((True)-(~(True)))))))
15,67108865,-(~((~(True))**(~((~(-(~(True))))**((True)-(~(True)))))))
15,18446744073709551615,~(-((~(True))**((~(True))**((~(-(~(True))))*(~(True))))))
15,18446744073709551617,-(~((~(True))**((~(True))**((~(-(~(True))))*(~(True))))))
15,-163,~(-((~(True))*((~(-(~(True))))**((~(True))*(~(True))))))
15,-161,-(~((~(True))*((~(-(~(True))))**((~(True))*(~(True))))))
15,-2417851639229258349412353,~(-((~(True))**((~(-(~(True))))**((~(True))*(~(True))))))
15,-2417851639229258349412351,-(~((~(True))**((~(-(~(True))))**((~(True))*(~(True))))))
15,4095,~(-((~(True))**(((True)-(~(True)))*((~(True))*(~(True))))))
15,4097,-(~((~(True))**(((True)-(~(True)))*((~(True))*(~(True))))))
15,-33554433,~(-((~(True))**((~((~(True))*(~(True))))**(-(~(True))))))
15,-33554431,-(~((~(True))**((~((~(True))*(~(True))))**(-(~(True))))))
15,6560,~(-((~(-(~(True))))**(-((~(True))**((True)-(~(True)))))))
